file,source_family,column,row_count,blank_count,blank_pct,non_empty_count
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Reserve Allocation (Red Cross),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Reserve Allocation (UN),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Standard Allocation (INGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Standard Allocation (NNGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Standard Allocation (Red Cross),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Standard Allocation (UN),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Total Reserve Allocation,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Total Standard Allocation,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Total Under Approval Allocation,18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Under Approval Allocation (INGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Under Approval Allocation (NNGO),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Under Approval Allocation (Red),18,0,0.0,18
AllocationsByOrgType__20260418_071803_UTC.csv,CBPF,Under Approval Allocation (UN),18,0,0.0,18
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,AllocationSource,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,AllocationHCLastProjectApprovalDate,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,TotalProjectsunderApproval,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,TotalUnderApprovalBudget,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,TotalProjectsApproved,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,TotalApprovedBudget,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,AllocationTypeId,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,AllocationSourceId,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,FundTypeId,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,CBPF,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,Allocation Title,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,Allocation Summary,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,Total,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,Start Date,49,0,0.0,49
AllocationsTimeline__20260418_071808_UTC.csv,CBPF,End Date,49,0,0.0,49
Allocations__20260418_071733_UTC.csv,CBPF,Year,33,0,0.0,33
Allocations__20260418_071733_UTC.csv,CBPF,PooledFund,33,0,0.0,33
Allocations__20260418_071733_UTC.csv,CBPF,AllocationType,33,0,0.0,33
Allocations__20260418_071733_UTC.csv,CBPF,Budget,33,0,0.0,33
CBPFcontributions__20260418_071813_UTC.csv,CBPF,IsTransfer,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Year,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Donor Name,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,CBPF Name,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Paid Amount,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Pledged Amount,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Total Contributions,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Local Curency,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Exchange Rate,145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Paid Amount (Local Currency),145,0,0.0,145
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Pledged Amount (Local Currency),145,0,0.0,145
