agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
United Nations Children’s Fund,Africa,Cameroon,2019-10-01,Displacement,Middle Africa,500039,2019,Nutrition,"68,6","0,07"
United Nations High Commissioner for Refugees,Africa,Cameroon,2019-10-22,Displacement,Middle Africa,500000,2019,Protection,"68,6","0,07"
United Nations Educational Scientific and Cultural Organization,Africa,Cameroon,2019-09-30,Displacement,Middle Africa,500000,2019,Education,"68,6","0,07"
World Food Programme,Africa,Cameroon,2019-09-30,Displacement,Middle Africa,1002597,2019,Multi-Purpose Cash,"68,6","0,07"
World Health Organization,Africa,Cameroon,2019-10-07,Displacement,Middle Africa,1499889,2019,Health,"68,6","0,07"
Food and Agriculture Organization,Africa,Mauritania,2020-02-28,Drought,Western Africa,800000,2020,Agriculture,"35,6","-0,03"
United Nations Children’s Fund,Africa,Mauritania,2020-02-28,Drought,Western Africa,999380,2020,Nutrition; Education; Water; Sanitation and Hygiene,"35,6","-0,03"
International Organization for Migration,Africa,Mauritania,2020-03-02,Drought,Western Africa,800000,2020,Water; Sanitation and Hygiene; Agriculture,"35,6","-0,03"
World Food Programme,Africa,Mauritania,2020-03-05,Drought,Western Africa,2200000,2020,Food Assistance; Common Services; Nutrition,"35,6","-0,03"
United Nations Population Fund,Africa,Mauritania,2020-03-05,Drought,Western Africa,600000,2020,Health; Protection,"35,6","-0,03"
United Nations High Commissioner for Refugees,Africa,Mauritania,2020-02-28,Drought,Western Africa,600000,2020,Health,"35,6","-0,03"
United Nations Population Fund,Asia,Lebanon,2020-03-05,Post-conflict Needs,Western Asia,800000,2020,Health,"29,7","0,33"
United Nations High Commissioner for Refugees,Asia,Lebanon,2020-03-05,Post-conflict Needs,Western Asia,7099562,2020,Health; Protection; Shelter and Non-Food Items,"29,7","0,33"
United Nations Children’s Fund,Asia,Lebanon,2020-03-05,Post-conflict Needs,Western Asia,1620000,2020,Education,"29,7","0,33"
United Nations Relief and Works Agency,Asia,Lebanon,2020-03-05,Post-conflict Needs,Western Asia,1976441,2020,Education; Shelter and Non-Food Items,"29,7","0,33"
World Health Organization,Asia,Lebanon,2020-03-05,Post-conflict Needs,Western Asia,1492431,2020,Health,"29,7","0,33"
Food and Agriculture Organization,Africa,Chad,2020-03-05,Displacement,Middle Africa,700000,2020,Agriculture,"59,4","0,00"
United Nations High Commissioner for Refugees,Africa,Chad,2020-03-03,Displacement,Middle Africa,2270108,2020,Protection; Shelter and Non-Food Items; Water; Sanitation and Hygiene; Camp Coordination and Camp Management; Multi-Sector Refugee Assistance,"59,4","0,00"
International Organization for Migration,Africa,Chad,2020-02-28,Displacement,Middle Africa,1000000,2020,Camp Coordination and Camp Management; Shelter and Non-Food Items,"59,4","0,00"
World Health Organization,Africa,Chad,2020-03-05,Displacement,Middle Africa,250048,2020,Health,"59,4","0,00"
World Food Programme,Africa,Chad,2020-03-09,Displacement,Middle Africa,2725005,2020,Food Assistance; Nutrition,"59,4","0,00"
United Nations Population Fund,Africa,Chad,2020-03-09,Displacement,Middle Africa,950000,2020,Multi-Sector Refugee Assistance; Protection,"59,4","0,00"
World Food Programme,Africa,Chad,2020-03-02,Displacement,Middle Africa,1000000,2020,Common Services,"59,4","0,00"
United Nations Children’s Fund,Africa,Chad,2020-03-18,Displacement,Middle Africa,3125001,2020,Nutrition; Water; Sanitation and Hygiene; Protection,"59,4","0,00"
United Nations Children’s Fund,Asia,Jordan,2020-03-10,Displacement,Western Asia,2000000,2020,Water; Sanitation and Hygiene,26,"0,31"
United Nations High Commissioner for Refugees,Asia,Jordan,2020-03-10,Displacement,Western Asia,2299210,2020,Health; Protection,26,"0,31"
United Nations Entity for Gender Equality and the Empowerment of Women,Asia,Jordan,2020-03-06,Displacement,Western Asia,400020,2020,Protection,26,"0,31"
United Nations Relief and Works Agency,Asia,Jordan,2020-03-06,Displacement,Western Asia,600000,2020,Protection,26,"0,31"
Food and Agriculture Organization,Americas,Honduras,2020-03-09,Drought,Latin America and the Caribbean,899999,2020,Agriculture,"34,8","0,14"
International Organization for Migration,Americas,Honduras,2020-03-16,Drought,Latin America and the Caribbean,100000,2020,Protection,"34,8","0,14"
