agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
World Health Organization,Africa,Burkina Faso,2021-09-28,Displacement,Western Africa,1000000,2021,Health,"56,3","0,12"
United Nations Children’s Fund,Africa,Burkina Faso,2021-09-24,Displacement,Western Africa,1500000,2021,Protection; Water; Sanitation and Hygiene,"56,3","0,12"
United Nations Children’s Fund,Americas,Venezuela,2021-09-01,Economic Disruption,Latin America and the Caribbean,2500000,2021,Health; Protection; Nutrition; Education,"45,6","0,01"
United Nations Children’s Fund,Americas,Venezuela,2021-09-01,Economic Disruption,Latin America and the Caribbean,400000,2021,Education; Protection,"45,6","0,01"
United Nations Population Fund,Americas,Venezuela,2021-09-01,Economic Disruption,Latin America and the Caribbean,1300000,2021,Health,"45,6","0,01"
United Nations High Commissioner for Refugees,Americas,Venezuela,2021-08-23,Economic Disruption,Latin America and the Caribbean,1300000,2021,Shelter and Non-Food Items; Protection,"45,6","0,01"
International Organization for Migration,Americas,Venezuela,2021-08-23,Economic Disruption,Latin America and the Caribbean,1000000,2021,Shelter and Non-Food Items; Health; Protection; Food Assistance,"45,6","0,01"
World Food Programme,Americas,Venezuela,2021-09-02,Economic Disruption,Latin America and the Caribbean,400000,2021,Food Assistance,"45,6","0,01"
World Health Organization,Americas,Venezuela,2021-08-23,Economic Disruption,Latin America and the Caribbean,899993,2021,Health,"45,6","0,01"
International Organization for Migration,Africa,South Sudan,2021-10-21,Violence/Clashes,Eastern Africa,1500000,2021,Protection,"66,1","0,04"
United Nations High Commissioner for Refugees,Africa,South Sudan,2021-09-02,Violence/Clashes,Eastern Africa,3999937,2021,Protection,"66,1","0,04"
United Nations Children’s Fund,Africa,South Sudan,2021-09-01,Violence/Clashes,Eastern Africa,4941758,2021,Education; Protection,"66,1","0,04"
United Nations Population Fund,Africa,South Sudan,2021-09-01,Violence/Clashes,Eastern Africa,2000026,2021,Health; Protection,"66,1","0,04"
United Nations Population Fund,Americas,Venezuela,2021-09-02,Economic Disruption,Latin America and the Caribbean,200000,2021,Protection,"45,6","0,01"
World Food Programme,Asia,Afghanistan,2021-09-01,Post-conflict Needs,Southern Asia,3499990,2021,Food Assistance,"76,2","-0,13"
International Organization for Migration,Asia,Afghanistan,2021-09-07,Post-conflict Needs,Southern Asia,1500001,2021,Protection,"76,2","-0,13"
Food and Agriculture Organization,Asia,Afghanistan,2021-09-02,Post-conflict Needs,Southern Asia,2000008,2021,Agriculture,"76,2","-0,13"
Food and Agriculture Organization,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,180000,2021,Agriculture,"58,9","-0,07"
United Nations High Commissioner for Refugees,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,345000,2021,Protection; Protection; Camp Coordination and Camp Management,"58,9","-0,07"
World Health Organization,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,130861,2021,Health,"58,9","-0,07"
United Nations High Commissioner for Refugees,Asia,Afghanistan,2021-09-02,Post-conflict Needs,Southern Asia,4000000,2021,Protection; Shelter and Non-Food Items,"76,2","-0,13"
Food and Agriculture Organization,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,899999,2021,Agriculture,"55,5","0,01"
International Organization for Migration,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,499950,2021,Protection,"55,5","0,01"
United Nations High Commissioner for Refugees,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,550000,2021,Protection,"55,5","0,01"
World Health Organization,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,998973,2021,Health,"55,5","0,01"
International Organization for Migration,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,1210000,2021,Shelter and Non-Food Items; Camp Coordination and Camp Management; Protection; Health,"58,9","-0,07"
World Food Programme,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,1395000,2021,Food Assistance; Nutrition; Protection,"58,9","-0,07"
Food and Agriculture Organization,Africa,Nigeria,2021-09-17,Displacement,Western Africa,1400022,2021,Agriculture,"60,1","0,11"
United Nations High Commissioner for Refugees,Africa,Nigeria,2021-09-21,Displacement,Western Africa,1750063,2021,Protection; Shelter and Non-Food Items,"60,1","0,11"
United Nations Children’s Fund,Africa,Nigeria,2021-09-17,Displacement,Western Africa,3400000,2021,Nutrition; Health; Water; Sanitation and Hygiene,"60,1","0,11"
World Food Programme,Africa,Nigeria,2021-09-15,Displacement,Western Africa,1500000,2021,Common Services; Common Services,"60,1","0,11"
International Organization for Migration,Africa,Nigeria,2021-09-20,Displacement,Western Africa,750000,2021,Shelter and Non-Food Items,"60,1","0,11"
United Nations Population Fund,Africa,Nigeria,2021-09-20,Displacement,Western Africa,2194855,2021,Protection; Health,"60,1","0,11"
World Food Programme,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,849997,2021,Food Assistance,"55,5","0,01"
United Nations Children’s Fund,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,1375000,2021,Nutrition; Protection; Health; Education; Water; Sanitation and Hygiene,"58,9","-0,07"
Food and Agriculture Organization,Asia,Syrian Arab Republic,2021-09-30,Violence/Clashes,Western Asia,2200000,2021,Agriculture,"69,7","-0,17"
United Nations Development Programme,Asia,Syrian Arab Republic,2021-09-29,Violence/Clashes,Western Asia,3000000,2021,Water; Sanitation and Hygiene,"69,7","-0,17"
United Nations High Commissioner for Refugees,Asia,Syrian Arab Republic,2021-09-29,Violence/Clashes,Western Asia,1600000,2021,Protection; Shelter and Non-Food Items,"69,7","-0,17"
United Nations Children’s Fund,Asia,Syrian Arab Republic,2021-10-01,Violence/Clashes,Western Asia,9500760,2021,Water; Sanitation and Hygiene; Health; Nutrition; Protection,"69,7","-0,17"
United Nations Population Fund,Asia,Syrian Arab Republic,2021-10-05,Violence/Clashes,Western Asia,499987,2021,Protection,"69,7","-0,17"
World Health Organization,Asia,Syrian Arab Republic,2021-09-29,Violence/Clashes,Western Asia,3200000,2021,Health,"69,7","-0,17"
United Nations Office for Project Services,Asia,Afghanistan,2021-09-29,Post-conflict Needs,Southern Asia,759903,2021,Protection,"76,2","-0,13"
World Health Organization,Asia,Afghanistan,2021-09-08,Post-conflict Needs,Southern Asia,740000,2021,Health; Water; Sanitation and Hygiene,"76,2","-0,13"
United Nations Children’s Fund,Africa,Cameroon,2021-09-15,Displacement,Middle Africa,1200000,2021,Nutrition; Water; Sanitation and Hygiene,"55,5","0,01"
Food and Agriculture Organization,Africa,Ethiopia,2021-09-30,Violence/Clashes,Eastern Africa,4000000,2021,Agriculture,"71,7","-0,01"
International Organization for Migration,Africa,Ethiopia,2021-09-29,Violence/Clashes,Eastern Africa,3000000,2021,Camp Coordination and Camp Management; Shelter and Non-Food Items,"71,7","-0,01"
United Nations High Commissioner for Refugees,Africa,Ethiopia,2021-10-12,Violence/Clashes,Eastern Africa,2000000,2021,Camp Coordination and Camp Management; Protection; Shelter and Non-Food Items; Protection,"71,7","-0,01"
World Health Organization,Africa,Ethiopia,2021-10-05,Violence/Clashes,Eastern Africa,4000000,2021,Health,"71,7","-0,01"
United Nations Population Fund,Africa,Mozambique,2021-09-28,Displacement,Eastern Africa,365040,2021,Health; Protection,"58,9","-0,07"
Food and Agriculture Organization,Africa,Democratic Republic of the Congo,2021-10-25,Violence/Clashes,Middle Africa,1000000,2021,Agriculture,12,"0,00"
International Organization for Migration,Africa,Democratic Republic of the Congo,2021-10-21,Violence/Clashes,Middle Africa,1000000,2021,Shelter and Non-Food Items,12,"0,00"
United Nations Population Fund,Africa,Democratic Republic of the Congo,2021-10-21,Violence/Clashes,Middle Africa,1859999,2021,Health; Protection,12,"0,00"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2021-10-26,Violence/Clashes,Middle Africa,4600377,2021,Shelter and Non-Food Items; Protection; Multi-Sector Refugee Assistance,12,"0,00"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2021-10-21,Violence/Clashes,Middle Africa,7090016,2021,Nutrition; Water; Sanitation and Hygiene; Protection; Education; Shelter and Non-Food Items,12,"0,00"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2021-11-03,Violence/Clashes,Middle Africa,350000,2021,Common Services,12,"0,00"
World Food Programme,Africa,Democratic Republic of the Congo,2021-10-21,Violence/Clashes,Middle Africa,4300000,2021,Multi-Purpose Cash; Nutrition,12,"0,00"
World Health Organization,Africa,Democratic Republic of the Congo,2021-10-28,Violence/Clashes,Middle Africa,1857681,2021,Health,12,"0,00"
United Nations High Commissioner for Refugees,Africa,Nigeria,2021-10-22,Displacement,Western Africa,600362,2021,Camp Coordination and Camp Management; Shelter and Non-Food Items,"60,1","0,11"
United Nations Population Fund,Africa,Mozambique,2021-10-25,Displacement,Eastern Africa,75056,2021,Protection,"58,9","-0,07"
United Nations High Commissioner for Refugees,Africa,Mozambique,2021-10-21,Displacement,Eastern Africa,100000,2021,Protection,"58,9","-0,07"
United Nations Children’s Fund,Africa,Mozambique,2021-10-28,Displacement,Eastern Africa,200001,2021,Education; Protection,"58,9","-0,07"
International Organization for Migration,Africa,Mozambique,2021-10-28,Displacement,Eastern Africa,125000,2021,Camp Coordination and Camp Management; Protection; Water; Sanitation and Hygiene,"58,9","-0,07"
United Nations Children’s Fund,Africa,Nigeria,2021-10-29,Displacement,Western Africa,300000,2021,Protection,"60,1","0,11"
International Organization for Migration,Africa,Nigeria,2021-10-28,Displacement,Western Africa,600000,2021,Camp Coordination and Camp Management,"60,1","0,11"
United Nations High Commissioner for Refugees,Asia,Syrian Arab Republic,2021-11-16,Violence/Clashes,Western Asia,1200000,2021,Protection; Shelter and Non-Food Items,"69,7","-0,17"
United Nations Office for Project Services,Asia,Syrian Arab Republic,2021-11-15,Violence/Clashes,Western Asia,800000,2021,Protection,"69,7","-0,17"
Food and Agriculture Organization,Africa,Niger,2022-01-31,Drought,Western Africa,2600000,2022,Agriculture,"58,9","0,20"
United Nations Children’s Fund,Africa,Niger,2022-02-02,Drought,Western Africa,1500000,2022,Nutrition,"58,9","0,20"
United Nations Office for Project Services,Africa,Niger,2022-01-31,Drought,Western Africa,298571,2022,Protection,"58,9","0,20"
World Food Programme,Africa,Niger,2022-02-01,Drought,Western Africa,5200088,2022,Food Assistance; Nutrition,"58,9","0,20"
World Health Organization,Africa,Niger,2022-02-02,Drought,Western Africa,400000,2022,Health,"58,9","0,20"
United Nations Children’s Fund,Africa,Chad,2022-03-04,Displacement,Middle Africa,3274940,2022,Nutrition; Water; Sanitation and Hygiene; Protection; Education; Health,"62,4","0,08"
World Health Organization,Africa,Chad,2022-02-24,Displacement,Middle Africa,674433,2022,Health; Nutrition,"62,4","0,08"
Food and Agriculture Organization,Africa,Chad,2022-03-01,Displacement,Middle Africa,500001,2022,Agriculture,"62,4","0,08"
United Nations High Commissioner for Refugees,Africa,Chad,2022-03-04,Displacement,Middle Africa,1550000,2022,Protection; Shelter and Non-Food Items; Camp Coordination and Camp Management; Water; Sanitation and Hygiene,"62,4","0,08"
World Food Programme,Africa,Chad,2022-02-22,Displacement,Middle Africa,2000000,2022,Food Assistance; Nutrition,"62,4","0,08"
World Food Programme,Africa,Chad,2022-02-25,Displacement,Middle Africa,400000,2022,Common Services,"62,4","0,08"
International Organization for Migration,Africa,Chad,2022-03-02,Displacement,Middle Africa,700000,2022,Shelter and Non-Food Items; Water; Sanitation and Hygiene,"62,4","0,08"
International Organization for Migration,Asia,Lebanon,2022-03-07,Economic Disruption,Western Asia,1500000,2022,Health; Protection; Protection; Protection,"50,1","0,08"
United Nations Population Fund,Asia,Lebanon,2022-03-04,Economic Disruption,Western Asia,1500709,2022,Health; Protection,"50,1","0,08"
United Nations Children’s Fund,Asia,Lebanon,2022-03-04,Economic Disruption,Western Asia,1000004,2022,Protection,"50,1","0,08"
World Health Organization,Asia,Lebanon,2022-03-07,Economic Disruption,Western Asia,4001800,2022,Health,"50,1","0,08"
Food and Agriculture Organization,Africa,Kenya,2022-02-28,Drought,Eastern Africa,1000000,2022,Agriculture,"43,5","0,14"
United Nations Population Fund,Africa,Kenya,2022-02-25,Drought,Eastern Africa,500000,2022,Health; Protection,"43,5","0,14"
United Nations Children’s Fund,Africa,Kenya,2022-03-07,Drought,Eastern Africa,2350000,2022,Health; Nutrition; Water; Sanitation and Hygiene; Protection,"43,5","0,14"
World Food Programme,Africa,Kenya,2022-03-08,Drought,Eastern Africa,1750001,2022,Food Assistance; Nutrition,"43,5","0,14"
Food and Agriculture Organization,Americas,Haiti,2022-03-10,Earthquake,Latin America and the Caribbean,1000000,2022,Agriculture,"63,2","0,22"
International Organization for Migration,Americas,Haiti,2022-03-04,Earthquake,Latin America and the Caribbean,1600000,2022,Protection; Shelter and Non-Food Items,"63,2","0,22"
Office of the High Commissioner for Human Rights,Americas,Haiti,2022-03-07,Earthquake,Latin America and the Caribbean,499638,2022,Protection,"63,2","0,22"
United Nations Population Fund,Americas,Haiti,2022-03-08,Earthquake,Latin America and the Caribbean,1000000,2022,Health; Protection,"63,2","0,22"
United Nations Children’s Fund,Americas,Haiti,2022-03-08,Earthquake,Latin America and the Caribbean,1858248,2022,Protection; Education; Health,"63,2","0,22"
World Food Programme,Americas,Haiti,2022-02-28,Earthquake,Latin America and the Caribbean,2000000,2022,Food Assistance; Common Services,"63,2","0,22"
United Nations Children’s Fund,Africa,Angola,2022-03-08,Drought,Middle Africa,2250000,2022,Nutrition; Water; Sanitation and Hygiene; Education,"25,5","0,00"
World Health Organization,Africa,Kenya,2022-02-25,Drought,Eastern Africa,400000,2022,Health,"43,5","0,14"
World Food Programme,Africa,Angola,2022-03-09,Drought,Middle Africa,3750000,2022,Food Assistance; Nutrition,"25,5","0,00"
Food and Agriculture Organization,Americas,Honduras,2022-03-08,Economic Disruption,Latin America and the Caribbean,1494650,2022,Agriculture,"45,2","0,06"
United Nations High Commissioner for Refugees,Americas,Honduras,2022-03-08,Economic Disruption,Latin America and the Caribbean,1000000,2022,Protection,"45,2","0,06"
World Health Organization,Americas,Honduras,2022-03-08,Economic Disruption,Latin America and the Caribbean,1000000,2022,Health,"45,2","0,06"
World Food Programme,Africa,Republic of the Sudan,2022-03-16,Post-conflict Needs,Northern Africa,4100030,2022,Nutrition,"6,5","-0,07"
United Nations High Commissioner for Refugees,Africa,Republic of the Sudan,2022-03-16,Post-conflict Needs,Northern Africa,3500000,2022,Shelter and Non-Food Items,"6,5","-0,07"
United Nations Children’s Fund,Africa,Republic of the Sudan,2022-03-25,Post-conflict Needs,Northern Africa,8235047,2022,Education; Protection; Water; Sanitation and Hygiene,"6,5","-0,07"
World Health Organization,Africa,Republic of the Sudan,2022-03-17,Post-conflict Needs,Northern Africa,2405325,2022,Health,"6,5","-0,07"
United Nations Population Fund,Americas,Honduras,2022-03-07,Economic Disruption,Latin America and the Caribbean,749978,2022,Protection,"45,2","0,06"
United Nations Children’s Fund,Americas,Honduras,2022-03-08,Economic Disruption,Latin America and the Caribbean,750151,2022,Protection,"45,2","0,06"
United Nations Population Fund,Africa,Chad,2022-03-01,Displacement,Middle Africa,900001,2022,Health; Protection,"62,4","0,08"
United Nations Population Fund,Africa,Republic of the Sudan,2022-03-16,Post-conflict Needs,Northern Africa,1705350,2022,Protection,"6,5","-0,07"
United Nations Children’s Fund,Asia,Myanmar,2022-03-14,Displacement,South-Eastern Asia,1116851,2022,Protection; Protection,"57,4","0,27"
United Nations Children’s Fund,Asia,Myanmar,2022-03-15,Displacement,South-Eastern Asia,1117129,2022,Education,"57,4","0,27"
United Nations Children’s Fund,Asia,Myanmar,2022-03-14,Displacement,South-Eastern Asia,759500,2022,Health,"57,4","0,27"
United Nations Children’s Fund,Asia,Myanmar,2022-03-14,Displacement,South-Eastern Asia,894750,2022,Nutrition,"57,4","0,27"
United Nations Children’s Fund,Asia,Myanmar,2022-03-15,Displacement,South-Eastern Asia,1114440,2022,Water; Sanitation and Hygiene,"57,4","0,27"
Food and Agriculture Organization,Asia,Myanmar,2022-03-15,Displacement,South-Eastern Asia,500000,2022,Agriculture,"57,4","0,27"
United Nations Population Fund,Asia,Myanmar,2022-03-16,Displacement,South-Eastern Asia,1000000,2022,Health; Protection,"57,4","0,27"
United Nations High Commissioner for Refugees,Asia,Myanmar,2022-03-15,Displacement,South-Eastern Asia,3000000,2022,Protection; Shelter and Non-Food Items,"57,4","0,27"
World Food Programme,Asia,Myanmar,2022-03-09,Displacement,South-Eastern Asia,2500000,2022,Food Assistance,"57,4","0,27"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2022-03-11,Displacement,Middle Africa,8849996,2022,Nutrition; Water; Sanitation and Hygiene; Protection; Protection; Education,12,"0,00"
Food and Agriculture Organization,Africa,Democratic Republic of the Congo,2022-03-17,Displacement,Middle Africa,2800000,2022,Agriculture,12,"0,00"
United Nations Population Fund,Africa,Democratic Republic of the Congo,2022-03-14,Displacement,Middle Africa,2250000,2022,Protection,12,"0,00"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2022-03-16,Displacement,Middle Africa,2500000,2022,Protection,12,"0,00"
World Food Programme,Africa,Democratic Republic of the Congo,2022-03-11,Displacement,Middle Africa,4600000,2022,Multi-Purpose Cash; Nutrition; Common Services,12,"0,00"
World Health Organization,Africa,Democratic Republic of the Congo,2022-03-17,Displacement,Middle Africa,2007513,2022,Health,12,"0,00"
Food and Agriculture Organization,Africa,Madagascar,2022-03-29,Drought,Eastern Africa,1000000,2022,Agriculture,"47,6","0,14"
International Organization for Migration,Africa,Madagascar,2022-03-29,Drought,Eastern Africa,250000,2022,Protection,"47,6","0,14"
World Health Organization,Africa,Madagascar,2022-03-30,Drought,Eastern Africa,700000,2022,Health,"47,6","0,14"
World Food Programme,Africa,Madagascar,2022-03-30,Drought,Eastern Africa,3006156,2022,Food Assistance; Nutrition; Common Services,"47,6","0,14"
United Nations Children’s Fund,Africa,Madagascar,2022-03-28,Drought,Eastern Africa,1303437,2022,Nutrition; Water; Sanitation and Hygiene; Protection,"47,6","0,14"
United Nations Population Fund,Africa,Madagascar,2022-03-30,Drought,Eastern Africa,800003,2022,Health; Protection; Protection,"47,6","0,14"
Food and Agriculture Organization,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,2999999,2022,Agriculture,"69,7","0,02"
Office of the High Commissioner for Human Rights,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,475805,2022,Protection,"69,7","0,02"
United Nations Population Fund,Asia,Syrian Arab Republic,2022-04-22,Post-conflict Needs,Western Asia,1000000,2022,Health; Protection,"69,7","0,02"
United Nations High Commissioner for Refugees,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,5000000,2022,Shelter and Non-Food Items,"69,7","0,02"
United Nations Children’s Fund,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,5000551,2022,Water; Sanitation and Hygiene; Nutrition; Protection; Education; Multi-Purpose Cash,"69,7","0,02"
World Food Programme,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,6000000,2022,Food Assistance,"69,7","0,02"
United Nations Development Programme,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,1500000,2022,Early Recovery,"69,7","0,02"
World Health Organization,Asia,Syrian Arab Republic,2022-04-21,Post-conflict Needs,Western Asia,3000000,2022,Health,"69,7","0,02"
United Nations Children’s Fund,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,3954456,2022,Education; Water; Sanitation and Hygiene; Nutrition; Health; Protection,"56,3","-0,02"
Food and Agriculture Organization,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,1200000,2022,Agriculture,"56,3","-0,02"
United Nations Population Fund,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,428012,2022,Protection,"56,3","-0,02"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,498231,2022,Shelter and Non-Food Items,"56,3","-0,02"
World Food Programme,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,3380405,2022,Food Assistance; Common Services,"56,3","-0,02"
United Nations Development Programme,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,260985,2022,Common Services,"56,3","-0,02"
United Nations Office for Project Services,Africa,Burkina Faso,2022-04-28,Displacement,Western Africa,400000,2022,Protection,"56,3","-0,02"
International Organization for Migration,Africa,Nigeria,2022-09-28,Displacement,Western Africa,500000,2022,Common Services,"63,8","-0,13"
United Nations Children’s Fund,Africa,Nigeria,2022-10-03,Violence/Clashes,Western Africa,8500000,2022,Nutrition; Water; Sanitation and Hygiene; Health,"63,8","-0,13"
Food and Agriculture Organization,Africa,Nigeria,2022-09-29,Violence/Clashes,Western Africa,1000000,2022,Agriculture; Nutrition,"63,8","-0,13"
United Nations High Commissioner for Refugees,Africa,Algeria,2022-11-28,Refugees,Northern Africa,922306,2022,Food Assistance,22,"0,03"
World Food Programme,Africa,Algeria,2022-11-28,Refugees,Northern Africa,2077814,2022,Food Assistance,22,"0,03"
United Nations High Commissioner for Refugees,Africa,Mozambique,2022-12-15,Displacement,Eastern Africa,320001,2022,Protection,"63,9","-0,04"
United Nations Children’s Fund,Africa,Mozambique,2022-12-16,Displacement,Eastern Africa,2609996,2022,Education; Protection; Health,"63,9","-0,04"
United Nations Population Fund,Africa,Mozambique,2022-12-16,Displacement,Eastern Africa,1400000,2022,Health; Protection,"63,9","-0,04"
World Health Organization,Africa,Mozambique,2022-12-15,Displacement,Eastern Africa,670000,2022,Health,"63,9","-0,04"
United Nations Population Fund,Africa,Uganda,2022-12-15,Refugees,Eastern Africa,970000,2022,Health; Protection,"58,8","0,08"
United Nations High Commissioner for Refugees,Africa,Uganda,2022-12-15,Refugees,Eastern Africa,3480000,2022,Multi-Sector Refugee Assistance,"58,8","0,08"
United Nations Children’s Fund,Africa,Uganda,2022-12-14,Refugees,Eastern Africa,1000000,2022,Nutrition,"58,8","0,08"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Uganda,2022-12-15,Refugees,Eastern Africa,350000,2022,Protection,"58,8","0,08"
World Food Programme,Africa,Uganda,2022-12-14,Refugees,Eastern Africa,2200000,2022,Food Assistance,"58,8","0,08"
International Organization for Migration,Africa,Mali,2022-12-13,Displacement,Western Africa,1000000,2022,Shelter and Non-Food Items,"68,2","-0,09"
World Health Organization,Africa,Mali,2022-12-09,Displacement,Western Africa,500000,2022,Health,"68,2","-0,09"
United Nations Population Fund,Africa,Mali,2022-12-13,Displacement,Western Africa,1000009,2022,Protection; Health,"68,2","-0,09"
United Nations High Commissioner for Refugees,Africa,Mali,2022-12-09,Displacement,Western Africa,1350000,2022,Protection; Shelter and Non-Food Items,"68,2","-0,09"
United Nations Children’s Fund,Africa,Mali,2022-12-09,Displacement,Western Africa,3150000,2022,Water; Sanitation and Hygiene; Protection; Education,"68,2","-0,09"
United Nations Children’s Fund,Africa,Cameroon,2022-12-16,Displacement,Middle Africa,450000,2022,Nutrition,"61,3","-0,05"
United Nations High Commissioner for Refugees,Africa,Cameroon,2022-12-20,Displacement,Middle Africa,1300000,2022,Protection; Shelter and Non-Food Items,"61,3","-0,05"
United Nations Population Fund,Africa,Cameroon,2022-12-23,Displacement,Middle Africa,650010,2022,Protection,"61,3","-0,05"
International Organization for Migration,Africa,Cameroon,2022-12-16,Displacement,Middle Africa,450000,2022,Shelter and Non-Food Items,"61,3","-0,05"
World Food Programme,Africa,Cameroon,2022-12-27,Displacement,Middle Africa,1950099,2022,Food Assistance; Nutrition,"61,3","-0,05"
Food and Agriculture Organization,Africa,Cameroon,2022-12-16,Displacement,Middle Africa,1200000,2022,Agriculture,"61,3","-0,05"
International Organization for Migration,Asia,Bangladesh,2022-12-23,Refugees,Southern Asia,1500000,2022,Shelter and Non-Food Items,"44,2","-0,13"
United Nations Entity for Gender Equality and the Empowerment of Women,Asia,Bangladesh,2022-12-27,Refugees,Southern Asia,250000,2022,Protection,"44,2","-0,13"
United Nations High Commissioner for Refugees,Asia,Bangladesh,2022-12-16,Refugees,Southern Asia,2000000,2022,Protection; Shelter and Non-Food Items,"44,2","-0,13"
World Food Programme,Asia,Bangladesh,2022-12-20,Refugees,Southern Asia,3500000,2022,Food Assistance,"44,2","-0,13"
United Nations Children’s Fund,Asia,Bangladesh,2022-12-27,Refugees,Southern Asia,1250000,2022,Water; Sanitation and Hygiene; Protection,"44,2","-0,13"
United Nations Population Fund,Asia,Bangladesh,2022-12-27,Refugees,Southern Asia,500000,2022,Protection,"44,2","-0,13"
Food and Agriculture Organization,Asia,Myanmar,2022-12-21,Displacement,South-Eastern Asia,1200000,2022,Agriculture,"50,4","0,26"
United Nations Population Fund,Asia,Myanmar,2022-12-21,Displacement,South-Eastern Asia,650149,2022,Protection; Health,"50,4","0,26"
United Nations High Commissioner for Refugees,Asia,Myanmar,2022-12-21,Displacement,South-Eastern Asia,1525001,2022,Protection; Shelter and Non-Food Items,"50,4","0,26"
United Nations Children’s Fund,Asia,Myanmar,2022-12-20,Displacement,South-Eastern Asia,3600001,2022,Education; Nutrition; Protection; Protection; Water; Sanitation and Hygiene,"50,4","0,26"
World Food Programme,Asia,Myanmar,2022-12-22,Displacement,South-Eastern Asia,1700501,2022,Food Assistance; Nutrition,"50,4","0,26"
World Health Organization,Asia,Myanmar,2022-12-21,Displacement,South-Eastern Asia,550016,2022,Health,"50,4","0,26"
International Organization for Migration,Asia,Myanmar,2022-12-21,Displacement,South-Eastern Asia,775233,2022,Shelter and Non-Food Items; Health,"50,4","0,26"
World Health Organization,Americas,Venezuela,2022-12-29,Human Rights,Latin America and the Caribbean,720000,2022,Health; Water; Sanitation and Hygiene,"45,9","0,02"
United Nations High Commissioner for Refugees,Americas,Venezuela,2022-12-28,Human Rights,Latin America and the Caribbean,625000,2022,Protection; Shelter and Non-Food Items,"45,9","0,02"
Food and Agriculture Organization,Americas,Venezuela,2022-12-28,Human Rights,Latin America and the Caribbean,1150000,2022,Agriculture,"45,9","0,02"
International Organization for Migration,Americas,Venezuela,2022-12-29,Human Rights,Latin America and the Caribbean,625000,2022,Protection,"45,9","0,02"
United Nations Children’s Fund,Americas,Venezuela,2022-12-28,Human Rights,Latin America and the Caribbean,2778700,2022,Protection; Health; Water; Sanitation and Hygiene,"45,9","0,02"
World Food Programme,Americas,Venezuela,2022-12-30,Human Rights,Latin America and the Caribbean,1350000,2022,Food Assistance,"45,9","0,02"
United Nations Population Fund,Americas,Venezuela,2022-12-30,Human Rights,Latin America and the Caribbean,751299,2022,Protection; Health,"45,9","0,02"
United Nations High Commissioner for Refugees,Africa,South Sudan,2022-12-29,Flood,Eastern Africa,2599958,2022,Protection,70,"-0,03"
International Organization for Migration,Africa,South Sudan,2022-12-30,Flood,Eastern Africa,3900000,2022,Multi-Purpose Cash,70,"-0,03"
United Nations Children’s Fund,Africa,South Sudan,2022-12-29,Flood,Eastern Africa,1999505,2022,Water; Sanitation and Hygiene; Education,70,"-0,03"
World Food Programme,Africa,South Sudan,2022-12-29,Flood,Eastern Africa,3500001,2022,Multi-Purpose Cash,70,"-0,03"
World Health Organization,Africa,South Sudan,2022-12-31,Flood,Eastern Africa,2000000,2022,Health,70,"-0,03"
International Organization for Migration,Asia,Yemen,2022-12-31,Displacement,Western Asia,1999999,2022,Camp Coordination and Camp Management,"71,8","-0,03"
United Nations Population Fund,Asia,Yemen,2022-12-31,Displacement,Western Asia,2020892,2022,Health,"71,8","-0,03"
United Nations High Commissioner for Refugees,Asia,Yemen,2022-12-31,Displacement,Western Asia,4011429,2022,Shelter and Non-Food Items,"71,8","-0,03"
United Nations Children’s Fund,Asia,Yemen,2022-12-31,Displacement,Western Asia,6000000,2022,Water; Sanitation and Hygiene; Protection; Nutrition,"71,8","-0,03"
