General Information ;;;I. INFORM Risk;;II. Global Crisis Severity Index;;III. Multi-Indicator Component;;;;;;;;;;;;;;; CIRV ;;
;;;INFORM score;CERF-INFORM GRI score; GSCI ;CERF-INFORM GCSI score; A. IASC Early Warning, Early Action & Readiness Report;;;B. Food Insecurity;;;;;;;;C. Conflict;;;E. CERF- Multi-Indicator Consolidated;;;
Country ;ISO3 Country Code;Country with FTS-tracked HNRP or equivalent plan/appeal ;;;;;IASC Early Warning - Seriousness;IASC Early Warning - Type;IASC Early Warning - Score;FEWSNet Food Assistance Outlook Brief (projected IPC data not available);Global Report on Food Crises 2025 (0-5);Global Report on Food Crises (time period);IPC Classification;FAO Crop Prospects and Food Situation (July 2025);FAO Crop Prospects and Food Situation (July 2025);State of Food Insecurity Report - Prevalence of moderate or severe food insecurity 2025 (0-100);CERF Food Insecurity;CERF Change of Conflict;ACLED Fatalities last year;CERF - Conflict consolidated;; CIRV - CERF Index for Risk and Vulnerability (without Inform Severity) ; CIRV (Incl Inform Severity) ; CIRV (Adjusted) 
Madagascar;MDG;; 5,4 ; 54 ;2,70; 54 ;;;;0;4;0;4;2;Localized;72,6;83;0,00;0,32;0,16;28 ; 40,78 ; 45,19 ; 45 
Malawi;MWI;; 4,8 ; 48 ;3,40; 68 ;;;;0;4;0;4;2;Access;81,7;84;0,00;0,06;0,03;28 ; 38,06 ; 48,04 ; 48 
Malaysia;MYS;; 3,3 ; 33 ;1,60; 32 ;;;;0;0;0;0;0;0;16,7;3;0,00;0,00;0,00;1 ; 17,06 ; 22,04 ; 22 
Maldives;MDV;; 2,2 ; 22 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 11,00 ; 7,33 ; 11 
Mali;MLI;Yes; 7,1 ; 71 ;4,30; 86 ;High;Regional instability;67;0;5;0;5;2;Localized;20,6;84;41,67;4,67;23,17;58 ; 64,55 ; 71,70 ; 72 
Marshall Islands;MHL;; 3,7 ; 37 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 18,50 ; 12,33 ; 19 
Mauritania;MRT;; 5,1 ; 51 ;2,50; 50 ;;;;0;4;0;4;2;Access;66,3;81;0,00;0,00;0,00;27 ; 39,04 ; 42,70 ; 43 
Mauritius;MUS;; 2,2 ; 22 ;;;;;;0;0;0;0;0;0;31,1;6;0,00;0,00;0,00;2 ; 12,04 ; 8,02 ; 12 
Mexico;MEX;; 4,9 ; 49 ;2,80; 56 ;;;;0;0;0;0;0;0;19,3;4;0,00;10,42;5,21;3 ; 26,01 ; 36,01 ; 36 
Micronesia;FSM;; 3,4 ; 34 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 17,00 ; 11,33 ; 17 
Moldova Republic of;MDA;; 3,6 ; 36 ;;;;;;0;0;0;0;0;0;25,1;5;0,00;0,00;0,00;2 ; 18,84 ; 12,56 ; 19 
Mongolia;MNG;; 2,9 ; 29 ;;;;;;0;0;0;0;0;0;4,8;1;0,00;0,00;0,00;0 ; 14,66 ; 9,77 ; 15 
Montenegro;MNE;; 2,6 ; 26 ;;;;;;0;0;0;0;0;0;10,4;2;0,00;0,00;0,00;1 ; 13,35 ; 8,90 ; 13 
Morocco;MAR;; 3,7 ; 37 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,07;0,04;0 ; 18,51 ; 12,34 ; 19 
Mozambique;MOZ;Yes; 7,1 ; 71 ;3,30; 66 ;;;;0;4;0;4;2;Localized;0;68;0,00;0,95;0,48;23 ; 46,91 ; 53,28 ; 53 
Myanmar;MMR;Yes; 7,0 ; 70 ;4,50; 90 ;High;Internal conflict;67;0;4;0;4;2;Localized;32,7;75;0,00;18,45;9,23;50 ; 60,13 ; 70,09 ; 70 
Namibia;NAM;; 4,1 ; 41 ;2,60; 52 ;;;;0;4;0;4;2;Localized;55,9;79;0,00;0,00;0,00;26 ; 33,70 ; 39,80 ; 40 
Nauru;NRU;; 2,2 ; 22 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 11,00 ; 7,33 ; 11 
Nepal;NPL;; 4,6 ; 46 ;;;;;;0;0;0;0;0;0;36,6;7;0,00;0,10;0,05;2 ; 24,23 ; 16,15 ; 24 
Nicaragua;NIC;; 4,9 ; 49 ;;;;;;0;3;0;3;0;0;0;36;0,00;0,01;0,01;12 ; 30,50 ; 20,33 ; 31 
Niger;NER;Yes; 7,8 ; 78 ;3,60; 72 ;High;Regional instability;67;0;4;0;4;2;Access;50,9;78;0,00;2,30;1,15;49 ; 63,39 ; 66,26 ; 66 
Nigeria;NGA;Yes; 7,0 ; 70 ;4,40; 88 ;Moderate;Internal conflict;33;0;4;0;4;2;Access;74,8;83;8,33;12,65;10,49;42 ; 56,08 ; 66,72 ; 67 
North Macedonia;MKD;; 2,8 ; 28 ;;;;;;0;0;0;0;0;0;15,2;3;0,00;0,00;0,00;1 ; 14,51 ; 9,67 ; 15 
Oman;OMN;; 2,5 ; 25 ;;;;;;0;0;0;0;0;0;0;0;0,00;0,00;0,00;0 ; 12,50 ; 8,33 ; 13 
