ISO3,Year,Round,avg_tone,crisis_article_volume,neg_event_count,avg_goldstein,cni_normalized
KEN,2024,I,-4.0796273826537535,39211,5027,-5.126198527949075,45.33999975392478
KEN,2024,II,-4.616833242935868,49470,6028,-4.946366954213669,47.931177421433404
LBN,2012,II,-3.4795471665156503,10,2,-5.0,42.44555170387143
LBN,2013,II,-1.4561899524711048,21,6,-10.0,32.68601925262196
LBN,2021,I,-6.157004162281001,157,14,-5.142857142857143,55.36009208043866
LBN,2021,II,-3.1707215752169473,33,7,-5.142857142857143,40.955951469599775
LBN,2022,I,-4.316011280754591,15969,1597,-5.542391984971823,46.48018217374399
LBN,2022,II,-3.940191947260683,17839,1588,-5.873110831234257,44.667441963769384
LBN,2023,I,-4.9701067283862,19901,2063,-5.926805622879302,49.63516919386326
LBN,2023,II,-5.774661812600292,63666,5497,-7.173549208659269,53.515888524440314
LBN,2024,I,-5.901662594528984,58806,5279,-7.757643493085811,54.12846856911248
LBN,2024,II,-5.598370751976775,162570,12090,-7.30808105872622,52.665560013449806
MDG,2021,I,-5.48128342245989,3,3,-5.5,52.10079686430424
MDG,2022,I,-3.4793884845732794,590,70,-4.92,42.44478631180164
MDG,2022,II,-6.504604536985096,661,80,-4.99125,57.036719970681474
MDG,2023,I,-3.0412570223294484,670,114,-5.42280701754386,40.331487585308004
MDG,2023,II,-4.282388590532359,2101,168,-4.945833333333333,46.318005305495284
MDG,2024,I,-2.9100252316610433,556,68,-5.238235294117647,39.6984995440596
MDG,2024,II,-0.5388754275445686,469,57,-3.6596491228070174,28.261412064192044
MLI,2012,I,-5.756532611567161,466,25,-9.552,53.428443497645276
MLI,2012,II,-15.411799940101801,23,3,-7.333333333333333,100.0
MLI,2013,I,-5.266897899536945,42,5,-10.0,51.0667221821268
MLI,2013,II,-8.06451612903225,2,1,-10.0,64.56085248568742
MLI,2021,I,-5.9234720277354596,97,8,-5.25,54.23366495739453
MLI,2021,II,-5.43868934619143,108,7,-6.857142857142857,51.895347096617364
MLI,2022,I,-5.747871330433794,10815,1092,-5.9096153846153845,53.38666636916606
MLI,2022,II,-5.6188272568187605,13411,855,-6.403157894736842,52.76423063940686
MLI,2023,I,-5.199237722391624,5256,525,-6.618857142857143,50.74036770061283
MLI,2023,II,-5.524499030801023,17050,1285,-6.663346303501945,52.30924455168156
MLI,2024,I,-5.732534695278065,3777,464,-5.834051724137931,53.31269110298153
MLI,2024,II,-5.901436152989908,4462,598,-6.2040133779264215,54.12737634301735
MMR,2013,II,-3.19905213270142,8,2,-10.0,41.092602078406024
MMR,2021,I,-4.965589631476251,717,54,-6.887037037037037,49.61338126953034
MMR,2021,II,-6.88814885844564,226,41,-5.926829268292683,58.886721159697544
MMR,2022,I,-5.301920567547891,23997,2523,-6.735909631391201,51.23565175255046
MMR,2022,II,-5.857338160490566,14495,1885,-7.36684350132626,53.91467253281272
MMR,2023,I,-5.272713293268148,17144,2071,-7.237276677933365,51.0947723570749
MMR,2023,II,-5.1529368885283695,17263,2358,-7.453307888040713,50.51703862778684
MMR,2024,I,-4.98142498746568,12340,1999,-7.659379689844923,49.68976208334966
MMR,2024,II,-4.275536309797108,7041,1088,-7.292830882352941,46.284953773251466
MOZ,2013,I,-11.5384615384615,4,1,-9.0,81.31720312998225
MOZ,2021,I,-4.342642912398516,13,3,-8.333333333333334,46.608638123812774
MOZ,2021,II,-3.3846519179234327,38,10,-8.14,41.987830619489166
MOZ,2022,I,-4.989415915623643,1812,357,-6.459103641456583,49.72830580767669
MOZ,2022,II,-5.426636061723099,2408,334,-6.564670658682634,51.837208859781924
MOZ,2023,I,-5.150813201566997,3459,350,-6.0837142857142865,50.5067951612986
MOZ,2023,II,-4.06198175635923,2230,300,-5.877,45.254887218556014
MOZ,2024,I,-4.8290642471406,3613,424,-6.78183962264151,48.954859922140734
MOZ,2024,II,-5.672118405972208,7475,645,-5.8931782945736435,53.02127704521071
MWI,2021,I,-5.929343206439945,38,6,-5.2,54.261984207547584
MWI,2021,II,-7.557610535799341,116,9,-6.333333333333333,62.11582619347508
MWI,2022,I,-4.559253567105275,4653,771,-4.775226977950713,47.65344558500804
MWI,2022,II,-4.434842840729497,3571,600,-4.4755,47.05335850551462
MWI,2023,I,-4.49787308127473,3448,511,-4.884931506849314,47.3573807877599
MWI,2023,II,-3.7829116503415343,4743,781,-5.008578745198463,43.90881064001205
MWI,2024,I,-3.6297301199696084,4059,731,-4.528180574555403,43.16994945118197
MWI,2024,II,-2.916634770920697,3567,582,-4.27319587628866,39.73038022852038
NER,2013,II,-1.39658195037482,40,9,-10.0,32.39850391584662
NER,2021,I,-7.457076078580234,31,9,-5.411111111111111,61.63090475158231
NER,2021,II,-5.9766022380468,3,1,-2.0,54.489935085118915
NER,2022,I,-6.151824165517797,3954,564,-6.958156028368794,55.33510670160543
NER,2022,II,-5.727277073923918,3122,411,-6.440389294403893,53.287331306962315
NER,2023,I,-4.519081208882521,3538,510,-5.8939215686274515,47.45967681743858
NER,2023,II,-3.9415958948370324,47410,3509,-5.228811627244229,44.674213813957834
NER,2024,I,-4.9800754407576235,10387,1121,-6.2446030330062445,49.6832526322254
NER,2024,II,-5.782550222309278,6229,737,-6.17774762550882,53.553937757669736
NGA,2012,I,-8.805318262389713,20,3,-6.666666666666667,68.13406358764851
NGA,2013,II,5.320312219487399,8,3,-4.0,-0.0
NGA,2014,I,0.33557046979866,1,1,-4.0,24.04357892393107
NGA,2021,I,-3.098048745067908,1040,146,-5.602739726027397,40.60541878103613
NGA,2021,II,-2.6128549877247913,497,78,-4.806410256410256,38.265118122771064
NGA,2022,I,-3.6820003884716193,129672,21306,-5.357594104946963,43.42207170529505
NGA,2022,II,-3.8028180950300263,107446,18825,-5.230921646746348,44.00482808645097
NGA,2023,I,-3.151286007380307,141010,22226,-5.121110411230091,40.8622052671529
NGA,2023,II,-3.423209775881546,161722,25265,-5.162830001979022,42.173811949617566
NGA,2024,I,-4.057327117704371,157289,24701,-5.394449617424395,45.2324358705263
NGA,2024,II,-4.060429687796907,145048,23106,-5.204388470527136,45.24740091638682
PAK,2012,I,-4.163986426938598,9,4,-6.0,45.74690013935332
PAK,2013,I,-10.5643994211288,10,1,-2.0,76.61887760562333
PAK,2014,I,-6.0,10,2,-4.4,54.60279267422074
PAK,2014,II,-5.283182624674331,18,6,-3.8333333333333335,51.14527049892168
PAK,2021,I,-6.226636099379829,925,105,-7.020952380952381,55.69595721836008
PAK,2021,II,-5.603687190138702,415,47,-5.834042553191489,52.691203508531274
PAK,2022,I,-4.781563868767024,131370,13843,-5.54493968070505,48.72574492407429
PAK,2022,II,-4.759388924411729,122694,13014,-5.555540187490395,48.618785516443275
PAK,2023,I,-5.146739332092464,161860,15743,-5.774941243727371,50.48714511578866
PAK,2023,II,-5.385969751805106,150588,15597,-5.644803487850227,51.64105754820809
PAK,2024,I,-4.871574230856827,118903,15594,-5.572887007823522,49.15990407484934
PAK,2024,II,-5.501713456919841,141038,16325,-5.644453292496172,52.199339812088276
PSE,2012,I,-3.25443786982249,10,1,-10.0,41.359751593586765
PSE,2012,II,-4.15962123774096,4,2,-2.0,45.72584493203032
PSE,2013,I,-6.84292379471229,6,1,-2.0,58.66858099440603
PSE,2021,I,-6.790583405887446,1189,50,-7.284,58.41612051945805
PSE,2021,II,-6.393704210633785,159,34,-8.138235294117647,56.5017994305183
PSE,2022,I,-6.8386830603301245,24358,3093,-7.57174264468154,58.648126086823424
PSE,2022,II,-6.817232584598922,22360,3181,-7.762244577176989,58.54466110667049
PSE,2023,I,-7.560637541679392,44222,4203,-7.767713537949084,62.13042676025163
PSE,2023,II,-6.467100970552232,97296,10607,-7.725841425473744,56.855823947429364
PSE,2024,I,-6.248221812382077,76589,10763,-7.398086035491963,55.80007450672938
PSE,2024,II,-6.9864057265363755,55554,6924,-7.824523396880416,59.36065679796915
SDN,2021,I,-8.26707978776842,334,50,-7.81,65.53790517176638
SDN,2021,II,-4.776551219857402,471,31,-5.858064516129032,48.701566736772214
SDN,2022,I,-6.420978732440006,24940,2057,-5.908799222168206,56.63335631963924
SDN,2022,II,-5.765337675991683,11799,1384,-6.155491329479769,53.47091415551527
SDN,2023,I,-5.527559069692381,157229,6523,-6.598911543768204,52.32400445104831
SDN,2023,II,-6.1946519693201205,32921,3280,-7.149664634146342,55.541683838911304
SDN,2024,I,-6.154374860315836,26031,2385,-6.608050314465409,55.347409812732764
SDN,2024,II,-5.946368388902559,26132,2372,-6.644224283305228,54.34410407228476
SSD,2012,I,-4.15647921760391,10,1,-4.0,45.71068960143562
SSD,2021,I,-7.742834427412062,154,16,-9.2375,63.00924163608376
SSD,2021,II,-3.9089044876113053,57,9,-8.0,44.516528928915356
SSD,2022,I,-4.33011003358133,2440,355,-5.803098591549295,46.54818659470319
SSD,2022,II,-4.488201762191375,2718,425,-6.538588235294118,47.310731806657984
SSD,2023,I,-4.729475187575825,3775,439,-6.342596810933941,48.47449854459189
SSD,2023,II,-3.4262949929563176,2462,285,-5.722105263157895,42.188693294321
SSD,2024,I,-5.076611433193474,2944,528,-6.067234848484849,50.14888773825196
SSD,2024,II,-3.856239147443532,3523,464,-5.748922413793103,44.26250107221474
