file,source_family,column,numeric_count,non_empty_count,numeric_parse_pct,min,p01,p25,p50,p75,p99,max,mean
cod_population_admin2.csv,COD-PS,Age_min,945164,945164,100.0,0,0,20,45,65,100,100,44.52
cod_population_admin2.csv,COD-PS,Age_max,894836,894836,100.0,0,4,24,44,69,99,99,46.05
cod_population_admin2.csv,COD-PS,Population,1001583,1001583,100.0,0,1,183,683,2733,142539.52,18113283,9046.13
cod_population_admin2.csv,COD-PS,Reference_year,1001583,1001583,100.0,2001,2011,2022,2022,2024,2025,2025,2022.34
cod_population_admin3.csv,COD-PS,Age_min,221185,221185,100.0,0,0,15,35,60,80,95,37.68
cod_population_admin3.csv,COD-PS,Age_max,207944,207944,100.0,4,4,19,39,59,79,94,39.16
cod_population_admin3.csv,COD-PS,Population,241962,241962,100.0,0,3,200,1033,4664.75,111586.55,6791708,7408.11
cod_population_admin3.csv,COD-PS,Reference_year,241962,241962,100.0,2011,2017,2022,2022,2023,2024,2024,2021.99
cod_population_admin4.csv,COD-PS,Population,17465,17465,100.0,79,255,712,1124,1716,8687.88,35286,1528.55
cod_population_admin4.csv,COD-PS,Reference_year,17465,17465,100.0,2018,2018,2018,2018,2018,2018,2018,2018
fts_incoming_funding_global.csv,FTS,budgetYear,7346,7346,100.0,1980,2022,2025,2025,2026,2026,2026,2025.07
fts_incoming_funding_global.csv,FTS,amountUSD,7990,7990,100.0,-7195148,0,43729,205430.5,764165.75,44521189.35,326271300,1713017.56
fts_incoming_funding_global.csv,FTS,srcUsageYearStart,7990,7990,100.0,2020,2023,2025,2025,2026,2026,2026,2025.24
fts_incoming_funding_global.csv,FTS,srcUsageYearEnd,7990,7990,100.0,2020,2023,2025,2025,2026,2026,2030,2025.26
fts_incoming_funding_global.csv,FTS,destPlanId,5018,5018,100.0,1498,1498,1506,1512,1518,1568,1603,1514.7
fts_incoming_funding_global.csv,FTS,destUsageYearStart,7990,7990,100.0,2021,2023,2026,2026,2026,2026,2026,2025.9
fts_incoming_funding_global.csv,FTS,destUsageYearEnd,7990,7990,100.0,2026,2026,2026,2026,2026,2027,2030,2026.02
fts_incoming_funding_global.csv,FTS,originalAmount,6641,6641,100.0,-11930467,0,44533,207000,900000,2612082750,18000000000,96148748.01
fts_incoming_funding_global.csv,FTS,exchangeRate,6641,6641,100.0,0.3025,0.303,0.856,0.894,0.998,150,1429.59,9.17
fts_incoming_funding_global.csv,FTS,id,7990,7990,100.0,218966,294541.89,354199.25,373264.5,382047.5,385852,385905,364306.14
fts_internal_funding_global.csv,FTS,budgetYear,661,661,100.0,2024,2025,2026,2026,2026,2026,2026,2025.92
fts_internal_funding_global.csv,FTS,amountUSD,675,675,100.0,0,0,34991,300780,1118750.5,15358700.5,78267183,1353941.16
fts_internal_funding_global.csv,FTS,srcUsageYearStart,675,675,100.0,2026,2026,2026,2026,2026,2026,2026,2026
fts_internal_funding_global.csv,FTS,srcUsageYearEnd,675,675,100.0,2026,2026,2026,2026,2026,2026,2026,2026
fts_internal_funding_global.csv,FTS,destPlanId,665,665,100.0,1499,1501,1506,1514,1518,1568,1568,1516.46
fts_internal_funding_global.csv,FTS,destUsageYearStart,675,675,100.0,2026,2026,2026,2026,2026,2026,2026,2026
fts_internal_funding_global.csv,FTS,destUsageYearEnd,675,675,100.0,2026,2026,2026,2026,2026,2026,2026,2026
fts_internal_funding_global.csv,FTS,originalAmount,27,27,100.0,100000,103780.4,343553.5,1000000,3836742.5,472310951.98,583211827,36389237.48
fts_internal_funding_global.csv,FTS,exchangeRate,27,27,100.0,0.741,0.7448,0.8543,0.863,16.78,3156.94,4045,189.63
fts_internal_funding_global.csv,FTS,id,675,675,100.0,334352,363833.7,383295.5,383833,384285.5,385839.26,385894,383260.31
fts_outgoing_funding_global.csv,FTS,budgetYear,2995,2995,100.0,2006,2022,2025,2026,2026,2026,2026,2025.38
fts_outgoing_funding_global.csv,FTS,amountUSD,3199,3199,100.0,-37444934,0,51489,251596,963317,52398462.24,326914977,2355461.74
fts_outgoing_funding_global.csv,FTS,srcUsageYearStart,3199,3199,100.0,2021,2024,2026,2026,2026,2026,2026,2025.95
fts_outgoing_funding_global.csv,FTS,srcUsageYearEnd,3199,3199,100.0,2026,2026,2026,2026,2026,2026,2030,2026
fts_outgoing_funding_global.csv,FTS,destPlanId,1771,1771,100.0,1212,1498,1508,1514,1520,1568,1603,1516.34
fts_outgoing_funding_global.csv,FTS,destUsageYearStart,3199,3199,100.0,2021,2024,2026,2026,2026,2027,2027,2025.96
fts_outgoing_funding_global.csv,FTS,destUsageYearEnd,3199,3199,100.0,2022,2026,2026,2026,2026,2027,2030,2026.02
fts_outgoing_funding_global.csv,FTS,originalAmount,2890,2890,100.0,-34000000,0,65000,360431.5,1500000,468850000,18000000000,35070308.06
fts_outgoing_funding_global.csv,FTS,exchangeRate,2889,2889,100.0,0.3025,0.303,0.8,0.933,3.65,153.16,1429.59,8.6
fts_outgoing_funding_global.csv,FTS,id,3199,3199,100.0,256541,299251.92,377571.5,380668,384519.5,385729.02,385905,373682.72
fts_requirements_funding_cluster_global.csv,FTS,id,8030,8030,100.0,34,80,391.25,655,1089.5,1523.42,1603,736.68
fts_requirements_funding_cluster_global.csv,FTS,year,8030,8030,100.0,2000,2002,2012,2018,2022,2026,2026,2017.02
fts_requirements_funding_cluster_global.csv,FTS,clusterCode,6400,6400,100.0,113,176.99,2011.75,4398.5,6633.25,8896.02,8996,4387.12
fts_requirements_funding_cluster_global.csv,FTS,requirements,6301,6301,100.0,0,100000,5024115,20234348,60427957,651459552,2997000000,65345335.89
fts_requirements_funding_cluster_global.csv,FTS,funding,7454,7454,100.0,-982300072,0,1452602.5,7554034.5,27071090.75,378120175.62,2019776857,33004224.44
fts_requirements_funding_cluster_global.csv,FTS,percentFunded,5773,5773,100.0,0,0,21,39,65,272.84,8582,54.52
fts_requirements_funding_covid_global.csv,FTS,id,152,152,100.0,830,831.51,944,1005.5,1041.25,1101.49,1104,996.03
fts_requirements_funding_covid_global.csv,FTS,typeId,152,152,100.0,4,4,4,5,111,111,111,37.49
fts_requirements_funding_covid_global.csv,FTS,year,152,152,100.0,2020,2020,2020,2020,2021,2022,2022,2020.65
fts_requirements_funding_covid_global.csv,FTS,requirements,137,137,100.0,2842779,4642283.72,113799273,283920647,943123350,4388294996.8,4444280227,754837090.14
fts_requirements_funding_covid_global.csv,FTS,funding,152,152,100.0,250000,717158.73,20935378,119917131.5,398596653.25,2838075247.71,3765217036,389637668.86
fts_requirements_funding_covid_global.csv,FTS,covidFunding,152,152,100.0,164634,202356.73,1527860.75,6061088.5,27061245.75,192618978.09,281486805,23524331.58
fts_requirements_funding_covid_global.csv,FTS,covidPercentageOfFunding,152,152,100.0,0,0,1.75,8,33,100,100,26.31
fts_requirements_funding_global.csv,FTS,id,1251,1251,100.0,34,49.5,322.5,662,1114.5,1527,1603,717.8
fts_requirements_funding_global.csv,FTS,typeId,1251,1251,100.0,4,4,5,110,111,2170,2170,343.78
fts_requirements_funding_global.csv,FTS,year,3805,3805,100.0,1999,2000,2009,2016,2022,2028,2031,2015.44
fts_requirements_funding_global.csv,FTS,requirements,1198,1198,100.0,0,1159504.64,33687130,137254430.5,488275501.75,3996898277,5413802598,442207997.07
fts_requirements_funding_global.csv,FTS,funding,3781,3781,100.0,-349234272,16986.4,3038750,15938844,76574258,1448805842.8,3765217036,110709272.79
fts_requirements_funding_global.csv,FTS,percentFunded,1182,1182,100.0,0,2,30,50,68.75,204.8,1364,54.13
fts_requirements_funding_globalcluster_global.csv,FTS,id,10630,10630,100.0,34,45,309.25,609.5,1095,1524,1603,690.79
fts_requirements_funding_globalcluster_global.csv,FTS,year,10630,10630,100.0,2000,2000,2009,2017,2022,2026,2026,2015.7
fts_requirements_funding_globalcluster_global.csv,FTS,clusterCode,9000,9000,100.0,1,1,6,10,15,26512,26546,5709.98
fts_requirements_funding_globalcluster_global.csv,FTS,requirements,8192,8192,100.0,0,66437.8,3626125,14242830,46293242.25,601325679.93,2997000000,53066965.05
fts_requirements_funding_globalcluster_global.csv,FTS,funding,9626,9626,100.0,-18438625,0,917599.5,4760935,20195102.25,317103186.5,1637669231,25557792.42
fts_requirements_funding_globalcluster_global.csv,FTS,percentFunded,7347,7347,100.0,0,0,20,39,67,277.16,17851,57.9
hpc_hno_2024.csv,HNO,Population,10890,10890,100.0,1,68,7172,29510.5,97910.75,2714165.48,223800000,282134.22
hpc_hno_2024.csv,HNO,In Need,381314,381314,100.0,-12037,2,166,1431.86,7517,226073.88,25397896,25189.08
hpc_hno_2024.csv,HNO,Targeted,318244,318244,100.0,-7222,1,88,653,3572,141088.41,17327995,13954.71
hpc_hno_2024.csv,HNO,Affected,3996,3996,100.0,1,48.9,6239.5,25762.5,64157.75,1006147.6,28928873,147486.01
hpc_hno_2024.csv,HNO,Reached,511,511,100.0,103,158.4,1204.5,2686,6742,6890000,18400000,226193.97
hpc_hno_2025.csv,HNO,Population,30898,30898,100.0,1,4,1095,10903.5,53532,985209.76,229200000,134314.93
hpc_hno_2025.csv,HNO,In Need,310199,310199,100.0,-33929,2,239,2247,11061.85,274306.6,30440770,28801.67
hpc_hno_2025.csv,HNO,Targeted,269281,269281,100.0,0.122,1,90,791,4702,149762.8,20934770,14431.53
hpc_hno_2025.csv,HNO,Affected,3232,3232,100.0,1,3,12683.25,65806,127651.14,999375.49,70952176.57,190125.11
hpc_hno_2025.csv,HNO,Reached,22,22,100.0,41000,60110,855717.5,1800000,3600000,20312000,20900000,3727604.09
hpc_hno_2026.csv,HNO,Population,20,20,100.0,6567382,7580494.87,23325000,29200000,49371724,213807000,237500000,45261296.6
hpc_hno_2026.csv,HNO,In Need,128,128,100.0,73000,262178.05,1352850,3233415.5,5902680.25,22773106.41,33699770,4712172.73
hpc_hno_2026.csv,HNO,Targeted,134,134,100.0,33445,49838.53,587902.75,1236533,2338856.25,15642204.46,20419163,2097727.96
humanitarian-response-plans.csv,HRP,internalId,910,910,100.0,1,20.09,470.25,1005.5,5718.75,8299.46,8324,2903.43
humanitarian-response-plans.csv,HRP,years,910,910,100.0,2000,2000,2008,2016,2021,2026,2026,2014.54
humanitarian-response-plans.csv,HRP,origRequirements,910,910,100.0,0,0,46969825.25,186151881,574566202.75,4550341495.98,6080899576,522449664.46
humanitarian-response-plans.csv,HRP,revisedRequirements,910,910,100.0,0,2623524.05,64232949,236387643,678494733.25,4681888552.45,6080899576,606642235.42
